"gene_set","gene"
"clean_D2","ERLEC1"
"clean_D2","C9orf16"
"clean_D2","C1QTNF3"
"clean_D2","SDF4"
"clean_D2","ZCCHC24"
"clean_D2","GMPPA"
"clean_D2","ALDH18A1"
"clean_D2","CIB1"
"clean_D2","IGFBP6"
"clean_D2","SLC27A4"
"clean_D2","JOSD2"
"clean_D2","ENAH"
"clean_D2","CD99"
"clean_D2","UCHL1"
"clean_D2","CALU"
"clean_D2","TMEM176A"
"clean_D2","CKLF"
"clean_D2","CYBA"
"clean_D2","CSRP2"
"clean_D2","VEGFB"
"clean_D2","LAMTOR2"
"clean_D2","TUBA1C"
"clean_D2","KIAA1462"
"clean_D2","ACKR1"
"clean_D2","PACS1"
"clean_D2","RRBP1"
"clean_D2","FBLN7"
"clean_D2","RTEL1-TNFRSF6B"
"clean_D2","NUCB1"
"clean_D2","FKBP7"
"clean_D2","S100A7"
"clean_D2","COTL1"
"clean_D2","HLA-DRB1"
"clean_D2","SIL1"
"clean_D2","SSR3"
"clean_D2","IL1R1"
"clean_D2","S100A16"
"clean_D2","LMCD1"
"clean_D2","KHDRBS3"
"clean_D2","GALNS"
"clean_D2","ADAMTS12"
"clean_D2","SAR1A"
"clean_D2","ARF4"
"clean_D2","TMSB4X"
"clean_D2","YIF1A"
"clean_D2","ARFGAP1"
"clean_D2","GPR78"
"clean_D2","ITGBL1"
"clean_D2","XG"
"clean_D2","CDKN2A"
"clean_D2","LAMA4"
"clean_D2","LGMN"
"clean_D2","CTSA"
"clean_D2","SCO2"
"clean_D2","CCL14"
"clean_D2","SEC61A1"
"clean_D2","FMOD"
"clean_D2","AKR1A1"
"clean_D2","IFI6"
"clean_D2","ANXA6"
"clean_D2","C7orf50"
"clean_D2","IFITM3"
"clean_D2","FTL"
"clean_D2","FARP1"
"clean_D2","HMCN1"
"clean_D2","PARVB"
"clean_D2","RP11-25H12.1"
"clean_D2","SRA1"
"clean_D2","LOX"
"clean_D2","TUBB2A"
"clean_D2","PLTP"
"clean_D2","RP11-417E7.2"
"clean_D2","C1S"
"clean_D2","LGALS1"
"clean_D2","TGFB3"
"clean_D2","CRABP2"
"clean_D2","NID2"
"clean_D2","C4orf48"
"clean_D2","HTRA1"
"clean_D2","FLNC"
"clean_D2","MXRA7"
"clean_D2","CLEC11A"
"clean_D2","IFT20"
"clean_D2","ROR2"
"clean_D2","NME1-NME2"
"clean_D2","TNFAIP6"
"clean_D2","RP11-14N7.2"
"clean_D2","S100A9"
"clean_D2","SNX8"
"clean_D2","ECM1"
"clean_D2","GPX7"
"clean_D2","HIC1"
"clean_D2","EPHB2"
"clean_D2","GLIPR2"
"clean_D2","EVL"
"clean_D2","PRAF2"
"clean_D2","TMEM214"
"clean_D2","CYB561"
"clean_D2","MAGED1"
"clean_D2","HM13"
"clean_D2","FNDC1"
"clean_D2","C11orf24"
"clean_D2","HTRA3"
"clean_D2","NT5DC2"
"clean_D2","PLAU"
"clean_D2","NAGK"
"clean_D2","SPATS2L"
"clean_D2","FKBP9"
"clean_D2","PLOD1"
"clean_D2","SEMA6B"
"clean_D2","TXNDC5"
"clean_D2","P4HB"
"clean_D2","CUEDC1"
"clean_D2","SLC38A10"
"clean_D2","POLD4"
"clean_D2","CISD1"
"clean_D2","TTYH3"
"clean_D2","DAB2"
"clean_D2","OLFML3"
"clean_D2","HDLBP"
"clean_D2","KDELR2"
"clean_D2","PLIN3"
"clean_D2","METRN"
"clean_D2","IFI27"
"clean_D2","BACE2"
"clean_D2","ANGPTL2"
"clean_D2","TMED3"
"clean_D2","TGFBI"
"clean_D2","ABI3BP"
"clean_D2","SORCS2"
"clean_D2","TPM1"
"clean_D2","HMCN2"
"clean_D2","MYOF"
"clean_D2","AP2S1"
"clean_D2","PDGFRL"
"clean_D2","SEC13"
"clean_D2","RUNX1"
"clean_D2","PLXDC2"
"clean_D2","LRP1"
"clean_D2","BGN"
"clean_D2","ADAMTS14"
"clean_D2","FKBP14"
"clean_D2","ATOX1"
"clean_D2","NME4"
"clean_D2","ISOC2"
"clean_D2","CD151"
"clean_D2","CTSB"
"clean_D2","MVP"
"clean_D2","MAP4K4"
"clean_D2","C1R"
"clean_D2","FAM20C"
"clean_D2","GPX8"
"clean_D2","OST4"
"clean_D2","RCN1"
"clean_D2","INAFM1"
"clean_D2","PRDX4"
"clean_D2","AC005943.2"
"clean_D2","S100A8"
"clean_D2","FBLN1"
"clean_D2","TMEM119"
"clean_D2","MIR99AHG"
"clean_D2","EHD2"
"clean_D2","LRRC32"
"clean_D2","ISG15"
"clean_D2","CADM1"
"clean_D2","FAM114A1"
"clean_D2","PDXK"
"clean_D2","CTSK"
"clean_D2","PHPT1"
"clean_D2","KDELR3"
"clean_D2","SSC5D"
"clean_D2","ARHGAP1"
"clean_D2","HEG1"
