"gene","discovery_detection_fraction","discovery_detection_eligible","metacell_variance","selected_top_variable","clean_program"
"VPS13D",0.195327102803738,TRUE,0.00970977374595271,TRUE,NA
"TNFRSF1B",0.0897196261682243,TRUE,0.00417585329369384,FALSE,NA
"DHRS3",0.219626168224299,TRUE,0.011066952080183,TRUE,NA
"RP11-474O21.5",0.00186915887850467,FALSE,NA,FALSE,NA
"PDPN",0.135514018691589,TRUE,0.00393539199405777,FALSE,NA
"LRRC38",0.000934579439252336,FALSE,NA,FALSE,NA
"PRDM2",0.192523364485981,TRUE,0.00857611086697851,TRUE,NA
"RP4-704D23.1",0.00373831775700935,FALSE,NA,FALSE,NA
"KAZN",0.266355140186916,TRUE,0.0295151752679698,TRUE,NA
"DNAJC16",0.0635514018691589,TRUE,0.00136631967704649,FALSE,NA
"TMEM51",0.0485981308411215,FALSE,NA,FALSE,NA
"TMEM51-AS1",0.00280373831775701,FALSE,NA,FALSE,NA
"C1orf195",0,FALSE,NA,FALSE,NA
"FHAD1",0.119626168224299,TRUE,0.00350584180616929,FALSE,NA
"EFHD2",0.116822429906542,TRUE,0.00244788985380789,FALSE,"clean_D2"
"RP3-467K16.2",0.00280373831775701,FALSE,NA,FALSE,NA
"RP3-467K16.4",0,FALSE,NA,FALSE,NA
"CASP9",0.0196261682242991,FALSE,NA,FALSE,NA
"CTRC",0,FALSE,NA,FALSE,NA
"CELA2A",0,FALSE,NA,FALSE,NA
"CELA2B",0.00186915887850467,FALSE,NA,FALSE,NA
"DDI2",0.14018691588785,TRUE,0.00510994659973998,FALSE,NA
"AGMAT",0.00467289719626168,FALSE,NA,FALSE,NA
"FBLIM1",0.186915887850467,TRUE,0.00911294024269147,TRUE,"clean_D2"
"RP4-680D5.2",0.000934579439252336,FALSE,NA,FALSE,NA
"PLEKHM2",0.249532710280374,TRUE,0.00638859295804231,TRUE,NA
"RP11-288I21.1",0.00467289719626168,FALSE,NA,FALSE,NA
"SLC25A34",0.00654205607476636,FALSE,NA,FALSE,NA
"RP11-169K16.4",0,FALSE,NA,FALSE,NA
"ZBTB17",0.0551401869158879,TRUE,0.00111439369109974,FALSE,NA
"SPEN",0.163551401869159,TRUE,0.00493453671766036,FALSE,NA
"UQCRHL",0.0130841121495327,FALSE,NA,FALSE,NA
"FAM131C",0.00280373831775701,FALSE,NA,FALSE,NA
