"gene","raw_cluster","dynamic_module","peak_bin","trough_bin","spearman_rho","q_value","expressed_fraction","mean_expression","direction"
"RPS14","1","D2_late_increasing","27","30","-0.4161054643909","5.99032555174346e-45","0.995327102803738","2.66427676294971","decreases_with_pseudotime"
"RPL4","1","D2_late_increasing","27","30","-0.415605387228934","7.7214620717986e-45","0.935514018691589","1.66027399145825","decreases_with_pseudotime"
"RPL30","1","D2_late_increasing","27","30","-0.408632171093835","2.87291272974785e-43","0.976635514018692","2.34892098731177","decreases_with_pseudotime"
"RPS27","1","D2_late_increasing","27","30","-0.408546233175956","2.98450295055398e-43","0.97196261682243","2.58905969203529","decreases_with_pseudotime"
"RPL24","1","D2_late_increasing","27","30","-0.399746630266726","2.66723723937689e-41","0.961682242990654","2.06801491747162","decreases_with_pseudotime"
"GNB2L1","1","D2_late_increasing","27","30","-0.396735132497105","1.18442068642848e-40","0.933644859813084","1.61271747716802","decreases_with_pseudotime"
"RPL12","1","D2_late_increasing","27","30","-0.396630612973843","1.24074808688287e-40","0.983177570093458","2.44178846684557","decreases_with_pseudotime"
"RPS23","1","D2_late_increasing","27","30","-0.394167175310418","4.23061288534394e-40","0.968224299065421","2.28472047106149","decreases_with_pseudotime"
"RPL38","1","D2_late_increasing","27","30","-0.389415427964161","4.27084259484734e-39","0.95607476635514","1.89823987204","decreases_with_pseudotime"
"RPS9","1","D2_late_increasing","27","30","-0.384131935394482","5.31917474322359e-38","0.962616822429907","2.12377469649904","decreases_with_pseudotime"
"RPL37","1","D2_late_increasing","27","30","-0.382734990676317","1.02662629174064e-37","0.986915887850467","2.67932811617176","decreases_with_pseudotime"
"RPL3","1","D2_late_increasing","27","30","-0.377850624559563","9.71316290068475e-37","0.968224299065421","2.08004865537803","decreases_with_pseudotime"
"RPS6","1","D2_late_increasing","27","30","-0.376373222583033","1.91237634399954e-36","0.972897196261682","2.21615123022759","decreases_with_pseudotime"
"RPL18","1","D2_late_increasing","27","30","-0.373763673052604","6.34131124072046e-36","0.98411214953271","2.23465728236732","decreases_with_pseudotime"
"RPL9","1","D2_late_increasing","27","30","-0.372005175789905","1.37684759433649e-35","0.939252336448598","1.80788084879865","decreases_with_pseudotime"
"RPS21","1","D2_late_increasing","27","30","-0.36911250742715","5.02037979185701e-35","0.962616822429907","1.98199831958108","decreases_with_pseudotime"
"EEF1A1","1","D2_late_increasing","27","30","-0.366457252523876","1.63785811881794e-34","0.999065420560748","3.13137339504738","decreases_with_pseudotime"
"RPL32","1","D2_late_increasing","27","30","-0.362899375581086","7.87002272530804e-34","0.983177570093458","2.47102606802562","decreases_with_pseudotime"
"RPS4X","1","D2_late_increasing","27","30","-0.3598741059288","2.94168562570489e-33","0.982242990654206","2.28145198257751","decreases_with_pseudotime"
"RPL23","1","D2_late_increasing","27","30","-0.357895251577176","6.92449182794685e-33","0.968224299065421","2.14546978811583","decreases_with_pseudotime"
"RPL14","1","D2_late_increasing","27","30","-0.357176961867674","9.46479159709731e-33","0.945794392523365","1.76334889363397","decreases_with_pseudotime"
"RPS3A","1","D2_late_increasing","27","30","-0.354321197832187","3.20314227003159e-32","0.931775700934579","1.91447022781042","decreases_with_pseudotime"
"RPL21","1","D2_late_increasing","27","30","-0.349446075464728","2.49479236086015e-31","0.921495327102804","1.83839970851534","decreases_with_pseudotime"
"RPL7","1","D2_late_increasing","27","30","-0.345744602216266","1.15315411718097e-30","0.864485981308411","1.3663686626452","decreases_with_pseudotime"
"RPL22","1","D2_late_increasing","27","30","-0.345441878689684","1.30576039055318e-30","0.775700934579439","0.967872596269678","decreases_with_pseudotime"
"RPS8","1","D2_late_increasing","27","30","-0.331840570437597","3.06223613751085e-28","0.996261682242991","2.82808832921459","decreases_with_pseudotime"
"HSP90AB1","1","D2_late_increasing","26","30","-0.331644147764836","3.2934001400198e-28","0.755140186915888","0.860885454066288","decreases_with_pseudotime"
"VIM","1","D2_late_increasing","27","30","-0.329631093145605","7.1249836973411e-28","0.957943925233645","2.32548378462624","decreases_with_pseudotime"
"RPS16","1","D2_late_increasing","27","30","-0.328488280722027","1.0993783552718e-27","0.970093457943925","2.11777228498248","decreases_with_pseudotime"
"NACA","1","D2_late_increasing","27","30","-0.325384818279276","3.60072209550124e-27","0.921495327102804","1.65800203870612","decreases_with_pseudotime"
"RPS20","1","D2_late_increasing","27","30","-0.3217483451936","1.42698766071356e-26","0.973831775700935","2.1571267109172","decreases_with_pseudotime"
"GLTSCR2","1","D2_late_increasing","26","30","-0.312337216417211","4.57160827206736e-25","0.769158878504673","0.898126463760073","decreases_with_pseudotime"
"RPL36A","1","D2_late_increasing","27","30","-0.31182903931052","5.47209614626319e-25","0.928971962616822","1.7724837483202","decreases_with_pseudotime"
"RPS3","1","D2_late_increasing","27","30","-0.309395865335623","1.30734009542791e-24","0.978504672897196","2.10629130866615","decreases_with_pseudotime"
"JUNB","1","D2_late_increasing","26","30","-0.304021977543083","8.68880896055625e-24","0.788785046728972","1.06734361117285","decreases_with_pseudotime"
"RPL23A","1","D2_late_increasing","27","30","-0.30222536731368","1.61339591711374e-23","0.961682242990654","2.048261999261","decreases_with_pseudotime"
"RPS5","1","D2_late_increasing","27","30","-0.296657605817121","1.10878203096305e-22","0.945794392523365","1.72495750974152","decreases_with_pseudotime"
"BTF3","1","D2_late_increasing","27","30","-0.295835615822344","1.4669214915781e-22","0.814953271028037","1.09252244615289","decreases_with_pseudotime"
"RPS17","1","D2_late_increasing","27","30","-0.289845504663776","1.10710701805842e-21","0.964485981308411","2.07413982231101","decreases_with_pseudotime"
"RPL17-C18orf32","1","D2_late_increasing","27","30","-0.28796419277549","2.0415558530023e-21","0.883177570093458","1.5327879574412","decreases_with_pseudotime"
"RPL10A","1","D2_late_increasing","27","30","-0.285962672650867","3.87983774873506e-21","0.938317757009346","1.80729519146249","decreases_with_pseudotime"
"HNRNPA1","1","D2_late_increasing","27","30","-0.283193441758193","9.560007317582e-21","0.779439252336449","1.01877819275413","decreases_with_pseudotime"
"RPS25","1","D2_late_increasing","27","30","-0.274403321944163","1.53335365225819e-19","0.919626168224299","1.69102301949021","decreases_with_pseudotime"
"LMO4","1","D2_late_increasing","26","30","-0.271597110997164","3.64628722841959e-19","0.571028037383178","0.598847373322597","decreases_with_pseudotime"
"PFDN5","1","D2_late_increasing","27","30","-0.266494741804319","1.70289546163239e-18","0.885981308411215","1.37059213340558","decreases_with_pseudotime"
"CIRBP","1","D2_late_increasing","27","30","-0.263125626714602","4.64984135523674e-18","0.730841121495327","0.816385403483765","decreases_with_pseudotime"
"RPS15","1","D2_late_increasing","27","30","-0.262585129556937","5.45356214386518e-18","0.963551401869159","2.04703051206423","decreases_with_pseudotime"
"RPL31","1","D2_late_increasing","27","30","-0.261618465686952","7.19876487358425e-18","0.958878504672897","2.11442125445909","decreases_with_pseudotime"
"RPS7","1","D2_late_increasing","27","30","-0.25948494104019","1.32713838778237e-17","0.927102803738318","1.64012855007292","decreases_with_pseudotime"
"ADIRF","1","D2_late_increasing","27","30","-0.257651924373326","2.24763434356407e-17","0.620560747663551","0.751801128525015","decreases_with_pseudotime"
"RPS10","1","D2_late_increasing","27","30","-0.256446406773986","3.17715493180553e-17","0.939252336448598","1.76767456757742","decreases_with_pseudotime"
"NUCKS1","1","D2_late_increasing","28","30","-0.252756319694565","9.08615926485025e-17","0.783177570093458","1.03678743414837","decreases_with_pseudotime"
"RPS15A","1","D2_late_increasing","27","30","-0.252383118703315","1.00949861015402e-16","0.945794392523365","1.96746820855655","decreases_with_pseudotime"
"FGFR1","1","D2_late_increasing","27","13","-0.251954293689233","1.13834656919405e-16","0.603738317757009","0.631955221796817","decreases_with_pseudotime"
"CD81","1","D2_late_increasing","26","30","-0.24362211414552","1.14713953070741e-15","0.883177570093458","1.40957888790209","decreases_with_pseudotime"
"EIF1","1","D2_late_increasing","27","30","-0.241159255792612","2.23760608739241e-15","0.85607476635514","1.21315467850042","decreases_with_pseudotime"
"ZFP36L2","1","D2_late_increasing","14","3","-0.238722559920565","4.29266115883908e-15","0.766355140186916","1.05481524442401","decreases_with_pseudotime"
"RPS24","1","D2_late_increasing","27","30","-0.238059420447638","5.10906625675415e-15","0.961682242990654","2.05911066504025","decreases_with_pseudotime"
"RPL7A","1","D2_late_increasing","27","30","-0.235725421383404","9.39423893215331e-15","0.97196261682243","2.10927650125184","decreases_with_pseudotime"
"RPS18","1","D2_late_increasing","27","30","-0.227420906198673","7.92366522853411e-14","0.993457943925234","2.85685110152571","decreases_with_pseudotime"
