"gene","clean_module","dynamic_module","spearman_rho","branch_pattern"
"CHMP1A","clean_D2","D2_late_increasing","0.225613276112879","mixed_remodeling_branch_biased"
"ABHD17A","clean_D2","D2_late_increasing","0.225943994380038","mixed_remodeling_branch_biased"
"COX7A1","clean_D2","D2_late_increasing","0.226130800930079","mixed_remodeling_branch_biased"
"TIAM2","clean_D2","D2_late_increasing","0.226662711089367","ecm_dominant_branch_biased"
"AURKAIP1","clean_D2","D2_late_increasing","0.226754769065402","mixed_remodeling_branch_biased"
"SLC31A1","clean_D2","D2_late_increasing","0.226820237625116","mixed_remodeling_branch_biased"
"ARFGAP3","clean_D2","D2_late_increasing","0.226834793569548","mixed_remodeling_branch_biased"
"NME3","clean_D2","D2_late_increasing","0.227122519833954","mixed_remodeling_branch_biased"
"UFC1","clean_D2","D2_late_increasing","0.227376524896871","mixed_remodeling_branch_biased"
"NDUFA2","clean_D2","D2_late_increasing","0.227866656917088","mixed_remodeling_branch_biased"
"FSCN1","clean_D2","D2_late_increasing","0.228171221297374","mixed_remodeling_branch_biased"
"DLG1","clean_D2","D2_late_increasing","0.228230818290162","ecm_dominant_branch_biased"
"PCED1A","clean_D2","D2_late_increasing","0.228431600183022","mixed_remodeling_branch_biased"
"BLOC1S1","clean_D2","D2_late_increasing","0.228458449900524","mixed_remodeling_branch_biased"
"COL8A2","clean_D2","D2_late_increasing","0.228810466869063","mixed_remodeling_branch_biased"
"LZTS1","clean_D2","D2_late_increasing","0.229094765547647","mixed_remodeling_branch_biased"
"LSP1","clean_D2","D2_late_increasing","0.229196560938945","mixed_remodeling_branch_biased"
"KIF1C","clean_D2","D2_late_increasing","0.229421009849557","mixed_remodeling_branch_biased"
"CMTM3","clean_D2","D2_late_increasing","0.229436992309965","mixed_remodeling_branch_biased"
"WDR46","clean_D2","D2_late_increasing","0.229523866726137","mixed_remodeling_branch_biased"
"EFHD2","clean_D2","D2_late_increasing","0.229576206838956","mixed_remodeling_branch_biased"
"MGP","clean_D2","D2_late_increasing","0.229679826693141","mixed_remodeling_branch_biased"
"XPOT","clean_D2","D2_late_increasing","0.229800862762539","mixed_remodeling_branch_biased"
"PKIG","clean_D2","D2_late_increasing","0.229827343590037","mixed_remodeling_branch_biased"
"BCL3","clean_D2","D2_late_increasing","0.229886977212641","mixed_remodeling_branch_biased"
"ARHGDIA","clean_D2","D2_late_increasing","0.230470847173073","mixed_remodeling_branch_biased"
"ZNF428","clean_D2","D2_late_increasing","0.230614667625471","mixed_remodeling_branch_biased"
"LOXL2","clean_D2","D2_late_increasing","0.23080033833984","mixed_remodeling_branch_biased"
"UQCR10","clean_D2","D2_late_increasing","0.230837982674603","mixed_remodeling_branch_biased"
"RAB7B","clean_D2","D2_late_increasing","0.231109835364797","mixed_remodeling_branch_biased"
"RABAC1","clean_D2","D2_late_increasing","0.231173913708276","mixed_remodeling_branch_biased"
"DPM3","clean_D2","D2_late_increasing","0.231339956862504","mixed_remodeling_branch_biased"
"CSTB","clean_D2","D2_late_increasing","0.231575135368723","mixed_remodeling_branch_biased"
"TMUB1","clean_D2","D2_late_increasing","0.231860597770066","mixed_remodeling_branch_biased"
"PSMB9","clean_D2","D2_late_increasing","0.231934145920319","mixed_remodeling_branch_biased"
"AP1S1","clean_D2","D2_late_increasing","0.232021978359552","mixed_remodeling_branch_biased"
"MYL6","clean_D2","D2_late_increasing","0.232109297484363","mixed_remodeling_branch_biased"
"LIMK1","clean_D2","D2_late_increasing","0.232232957433456","mixed_remodeling_branch_biased"
"GBP2","clean_D2","D2_late_increasing","0.232694439297611","mixed_remodeling_branch_biased"
"AMPD2","clean_D2","D2_late_increasing","0.232973819088339","mixed_remodeling_branch_biased"
"BEST1","clean_D2","D2_late_increasing","0.233083510130168","mixed_remodeling_branch_biased"
"CUEDC2","clean_D2","D2_late_increasing","0.233137856297444","mixed_remodeling_branch_biased"
"ILF2","clean_D2","D2_late_increasing","0.233541420579272","mixed_remodeling_branch_biased"
"TUBA1B","clean_D2","D2_late_increasing","0.233622559742225","mixed_remodeling_branch_biased"
"SAC3D1","clean_D2","D2_late_increasing","0.233629299967983","mixed_remodeling_branch_biased"
"GDI2","clean_D2","D2_late_increasing","0.233748556799595","mixed_remodeling_branch_biased"
"DCTD","clean_D2","D2_late_increasing","0.233959163479835","mixed_remodeling_branch_biased"
"FAM127A","clean_D2","D2_late_increasing","0.234070090834721","mixed_remodeling_branch_biased"
"RPN2","clean_D2","D2_late_increasing","0.234160892294188","mixed_remodeling_branch_biased"
"ATP5E","clean_D2","D2_late_increasing","0.234441907369847","mixed_remodeling_branch_biased"
"CDC42EP1","clean_D2","D2_late_increasing","0.234451167588357","mixed_remodeling_branch_biased"
"PUF60","clean_D2","D2_late_increasing","0.234458498405486","mixed_remodeling_branch_biased"
"INPPL1","clean_D2","D2_late_increasing","0.234473064790192","mixed_remodeling_branch_biased"
"MYL6B","clean_D2","D2_late_increasing","0.234622480880182","mixed_remodeling_branch_biased"
"PKN1","clean_D2","D2_late_increasing","0.23483060057466","mixed_remodeling_branch_biased"
"LTBP2","clean_D2","D2_late_increasing","0.234873883530159","mixed_remodeling_branch_biased"
"COL15A1","clean_D2","D2_late_increasing","0.234954965803492","common_increasing"
"NOP10","clean_D2","D2_late_increasing","0.23523224529385","mixed_remodeling_branch_biased"
"RAB11FIP5","clean_D2","D2_late_increasing","0.235275641142073","mixed_remodeling_branch_biased"
"OXLD1","clean_D2","D2_late_increasing","0.235422593048692","mixed_remodeling_branch_biased"
"DNM3OS","clean_D2","D2_late_increasing","0.235810992475918","mixed_remodeling_branch_biased"
"LRRC75A","clean_D2","D2_late_increasing","0.235818750101937","common_increasing"
