"root","gene","original_module","original_rho","rho","q_value","expressed_fraction","same_direction","passes_original_threshold"
"Y_114","RPS23","D2_late_increasing",-0.394167175310418,-0.394167175310418,2.9822353126195e-40,0.968224299065421,TRUE,TRUE
"Y_114","RPL38","D2_late_increasing",-0.389415427964161,-0.389415427964161,3.01059396030222e-39,0.95607476635514,TRUE,TRUE
"Y_114","RPS9","D2_late_increasing",-0.384131935394482,-0.384131935394482,3.74958219604286e-38,0.962616822429907,TRUE,TRUE
"Y_114","RPL37","D2_late_increasing",-0.382734990676317,-0.382734990676317,7.2368738598111e-38,0.986915887850467,TRUE,TRUE
"Y_114","RPL3","D2_late_increasing",-0.377850624559563,-0.377850624559563,6.84698368408925e-37,0.968224299065421,TRUE,TRUE
"Y_114","RPS6","D2_late_increasing",-0.376373222583033,-0.376373222583033,1.34806857036033e-36,0.972897196261682,TRUE,TRUE
"Y_114","RPL18","D2_late_increasing",-0.373763673052604,-0.373763673052604,4.47010464509803e-36,0.98411214953271,TRUE,TRUE
"Y_114","RPL9","D2_late_increasing",-0.372005175789905,-0.372005175789905,9.70564697647037e-36,0.939252336448598,TRUE,TRUE
"Y_114","RPS21","D2_late_increasing",-0.36911250742715,-0.36911250742715,3.53895624671887e-35,0.962616822429907,TRUE,TRUE
"Y_114","EEF1A1","D2_late_increasing",-0.366457252523876,-0.366457252523876,1.15455572310117e-34,0.999065420560748,TRUE,TRUE
"Y_114","RPL32","D2_late_increasing",-0.362899375581086,-0.362899375581086,5.54772093751222e-34,0.983177570093458,TRUE,TRUE
"Y_114","RPS4X","D2_late_increasing",-0.3598741059288,-0.3598741059288,2.07364724434935e-33,0.982242990654206,TRUE,TRUE
"Y_114","RPL23","D2_late_increasing",-0.357895251577176,-0.357895251577176,4.88119915740516e-33,0.968224299065421,TRUE,TRUE
"Y_114","RPL14","D2_late_increasing",-0.357176961867674,-0.357176961867674,6.67190227336368e-33,0.945794392523365,TRUE,TRUE
"Y_114","RPS3A","D2_late_increasing",-0.354321197832187,-0.354321197832187,2.25795274772718e-32,0.931775700934579,TRUE,TRUE
"Y_114","RPL21","D2_late_increasing",-0.349446075464728,-0.349446075464728,1.75862412322929e-31,0.921495327102804,TRUE,TRUE
"Y_114","RPL7","D2_late_increasing",-0.345744602216266,-0.345744602216266,8.15711463252936e-31,0.864485981308411,TRUE,TRUE
"Y_114","RPL22","D2_late_increasing",-0.345441878689684,-0.345441878689684,9.23650066792144e-31,0.775700934579439,TRUE,TRUE
"Y_114","RPS8","D2_late_increasing",-0.331840570437597,-0.331840570437597,2.16514700109479e-28,0.996261682242991,TRUE,TRUE
"Y_114","HSP90AB1","D2_late_increasing",-0.331644147764836,-0.331644147764836,2.3285488510296e-28,0.755140186915888,TRUE,TRUE
"Y_114","VIM","D2_late_increasing",-0.329631093145605,-0.329631093145605,5.03712986799729e-28,0.957943925233645,TRUE,TRUE
"Y_114","RPS16","D2_late_increasing",-0.328488280722027,-0.328488280722027,7.79400036786603e-28,0.970093457943925,TRUE,TRUE
"Y_114","NACA","D2_late_increasing",-0.325384818279276,-0.325384818279276,2.55924885829599e-27,0.921495327102804,TRUE,TRUE
"Y_114","RPS20","D2_late_increasing",-0.3217483451936,-0.3217483451936,1.0139352069519e-26,0.973831775700935,TRUE,TRUE
"Y_114","GLTSCR2","D2_late_increasing",-0.312337216417211,-0.312337216417211,3.25352142741815e-25,0.769158878504673,TRUE,TRUE
