"gene","spearman_rho.mixed_remodeling_branch","fdr.mixed_remodeling_branch","spearman_rho.ecm_dominant_branch","fdr.ecm_dominant_branch","branch_pattern","original_module"
"GLT8D2",0.372078297484109,4.20852091804131e-30,0.2084022269685,5.87287805492479e-08,"common_increasing","D2_late_increasing"
"ATP6V0D1",0.384300492754687,3.92843463076024e-32,0.167332825885605,1.43743002706482e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"SEMA3C",0.26821460968185,5.51284313829202e-16,0.350701283328067,7.70935626486945e-21,"common_increasing","D2_late_increasing"
"PLEKHA4",0.343415321109727,1.14379123182582e-25,0.261038084395429,7.65392799116379e-12,"common_increasing","D2_late_increasing"
"ARPC1A",0.342908381400891,1.35711587990274e-25,0.180145037762026,2.90709235807333e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"A2M",0.379801178599578,2.24592562060445e-31,0.187664118068463,1.08802751681323e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"CDK2AP1",0.406283925797442,5.08049100022443e-36,0.086131374909779,0.0254588810167382,"mixed_remodeling_branch_biased","D2_late_increasing"
"MINOS1-NBL1",0.340931952598672,2.6464614643292e-25,0.238592299406368,4.5579169301376e-10,"common_increasing","D2_late_increasing"
"HAPLN3",0.376027353182497,9.51423280707928e-31,0.171349472188412,8.81699226045127e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"TPM2",0.407292949185156,3.34580096412654e-36,0.0722715047575899,0.0602040577706595,"mixed_remodeling_branch_biased","D2_late_increasing"
"ZEB1",0.216141686998452,8.56060040148594e-11,0.341599869020966,8.66644475195406e-20,"common_increasing","D2_late_increasing"
"ERCC1",0.352793458089253,4.56540582496499e-27,0.222032580063582,7.12494620897475e-09,"common_increasing","D2_late_increasing"
"MEIS3",0.318079929388201,4.18379330908347e-22,0.23900602941239,4.24090008465732e-10,"common_increasing","D2_late_increasing"
"ACTB",0.4777393978923,7.34260912733567e-51,0.0681927855909328,0.0759287984557745,"mixed_remodeling_branch_biased","D2_late_increasing"
"MYLK",0.311568578350524,3.03015068625395e-21,0.276831162338378,3.29271991834151e-13,"common_increasing","D2_late_increasing"
"CD82",0.368851323820811,1.40164529023251e-29,0.230441074705778,1.8082472326689e-09,"common_increasing","D2_late_increasing"
"PLXNB2",0.346254436317301,4.3866464226858e-26,0.222030548598871,7.12494620897475e-09,"common_increasing","D2_late_increasing"
"PLOD2",0.325686075980823,3.85613161512822e-23,0.216883242249476,1.60511695265311e-08,"common_increasing","D2_late_increasing"
"LINC01615",0.394022884404277,8.2601598498259e-34,0.185965784195322,1.36320102060469e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"MRPL17",0.3915182820243,2.25002517207976e-33,0.128793585874954,0.00085218077943103,"mixed_remodeling_branch_biased","D2_late_increasing"
"SLC39A13",0.388708986306604,6.88354345255143e-33,0.157786200274099,4.29576115825006e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"ARHGAP28",0.233343150630379,2.22935499613627e-12,0.35058323420444,7.89683004951994e-21,"common_increasing","D2_late_increasing"
"RAD51B",0.267557434794598,6.5065570404775e-16,0.299372022038348,2.58486646460192e-15,"common_increasing","D2_late_increasing"
"CTSC",0.405328096768073,7.59149622411609e-36,0.315289387254877,6.48427183519434e-17,"common_increasing","D2_late_increasing"
"NANS",0.387495276839387,1.11646450726337e-32,0.150741637737053,9.27780438788417e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"GAA",0.389888973458355,4.31440430846817e-33,0.186973034798622,1.19074730759188e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"TNFRSF1A",0.392836028551579,1.32350243905196e-33,0.200442232617116,1.88203114061126e-07,"common_increasing","D2_late_increasing"
"GALNT2",0.316053737538327,7.78178298493801e-22,0.217749985942418,1.41024324427827e-08,"common_increasing","D2_late_increasing"
"PLAUR",0.372361981806863,3.78882579400438e-30,0.148010342050255,0.00012429177062963,"mixed_remodeling_branch_biased","D2_late_increasing"
"PAPSS2",0.310745645951804,3.89278782105062e-21,0.264815925099206,3.73458986435545e-12,"common_increasing","D2_late_increasing"
"DAPK3",0.334858237363371,1.99987679044679e-24,0.203744476751842,1.16619560708626e-07,"common_increasing","D2_late_increasing"
"GPI",0.377839373231394,4.7464579738896e-31,0.163656301180905,2.19543964666837e-05,"mixed_remodeling_branch_biased","D2_late_increasing"
"AGTRAP",0.404643459269073,1.01106536832453e-35,0.175228121206411,5.46765529121397e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
"HOMER3",0.367400526757913,2.39149129809018e-29,0.199544898771543,2.13320736724049e-07,"mixed_remodeling_branch_biased","D2_late_increasing"
"NAA10",0.393090052924332,1.20036406561448e-33,0.142337262226566,0.00022611173053271,"mixed_remodeling_branch_biased","D2_late_increasing"
"COPZ1",0.384768230895648,3.27101645617294e-32,0.11274524323177,0.00349075232530991,"mixed_remodeling_branch_biased","D2_late_increasing"
"NRBP1",0.378161003455095,4.21028630527219e-31,0.186999288194967,1.18823576127621e-06,"mixed_remodeling_branch_biased","D2_late_increasing"
