"waldStat","df","pvalue","logFC1_2","gene","fdr"
25.5855922542718,1,4.23187458964414e-07,1.50898407299004,"VAMP5",1.57707859707405e-06
2.34092619859832,1,0.126014609724491,-0.298414962763373,"KRT16",0.166924565962063
7.11950350828541,1,0.00762498195872863,0.668805368905883,"CTSZ",0.0132371581208985
0.73065457009955,1,0.392671099108178,0.330678340376667,"FIBIN",0.454457855903668
18.4849938616623,1,1.71247335571945e-05,-0.728433060430003,"DNAJC1",5.05157047940459e-05
82.8000278935508,1,0,-2.25930438053245,"ZFHX4",0
0.0336527395221106,1,0.854447434048754,0.0496571648834638,"NEK10",0.875593245890474
118.238011190026,1,0,-2.36389945360355,"SGCD",0
4.32095129040035,1,0.0376458709712996,-0.352288459719227,"MSRB3",0.0556720684469748
11.1783271137241,1,0.000827583567385548,0.923262852401518,"PGAM1",0.00178617457207923
8.67599392874238,1,0.00322428958447407,1.37808717242984,"LRRC59",0.0060994175218985
16.8866573636021,1,3.96795254408167e-05,1.10775847500612,"TAF10",0.000109535085044032
2.86551894117615,1,0.0904965178378824,0.389776760433411,"GPAA1",0.123084071706512
8.551696911136,1,0.00345200289355918,1.16872661089948,"DBN1",0.00646455483249441
0.882782484680393,1,0.34744071025458,0.353563446547656,"APOL2",0.407595712554691
90.0846398006308,1,0,-1.40313761977458,"MAP4",0
23.1684700141159,1,1.48410842082392e-06,1.57631308329286,"NDUFS8",5.13694493647411e-06
194.824871578532,1,0,-2.5279606089804,"CAMK1D",0
33.6705818814321,1,6.52804954537345e-09,-0.711892181021017,"SH3PXD2A",2.96681276086484e-08
23.1957635640774,1,1.46319310023735e-06,-1.03502337969176,"LAMC1",5.08027914927129e-06
3.57998984622859,1,0.0584795087239727,-0.221927262193259,"MYH9",0.0823426835685157
22.1838958142716,1,2.4774313789333e-06,-1.31264630081892,"PLPP4",8.17040791046441e-06
72.8011156671651,1,0,-2.400077119776,"SEC24D",0
11.0154439889039,1,0.000903558809848493,0.955145506617852,"RPL22L1",0.00193520833220424
12.257439851829,1,0.000463406847844405,1.18523794222602,"EIF4EBP1",0.00106165749157796
22.3640748334064,1,2.25553930399691e-06,1.40534290596424,"OSTC",7.5499788678699e-06
1.52586163932203,1,0.216734603006913,0.383436710395244,"ILK",0.269832167217961
6.60630374594061,1,0.0101618374087725,0.56349462411508,"COPE",0.0173184972911702
3.95446167551957,1,0.0467472680186953,-0.527340807298851,"AHR",0.0678746047336382
5.16329104574278,1,0.0230691438206037,0.656409662986618,"FAM50A",0.0363770138102044
122.898968109368,1,0,-4.25686335158637,"RYR2",0
4.57934451881773,1,0.0323595911242512,0.49565912163174,"CNN3",0.048561104532769
12.6346955052613,1,0.000378652882754626,0.969033641028357,"NGFR",0.00087828614713625
4.50880438665342,1,0.0337208040800846,0.559734441021248,"CCDC107",0.0504683520234733
0.200289665106043,1,0.65448713822716,-0.112320588432488,"AQP1",0.698869742634159
2.57967548481331,1,0.108243851393926,-0.599533513748722,"CYR61",0.144930090848395
19.6924208481691,1,9.09614143673743e-06,-0.851583415241827,"SMTN",2.8248572572979e-05
1.18730116557512,1,0.275874619870572,0.325052423504996,"DAP",0.334520417587093
3.71711397305751,1,0.0538573850995232,0.416796177194798,"PHLDA3",0.077177184781235
3.41050001311858,1,0.0647828141704098,0.647940992337855,"GARS",0.0906472919180452
0.296408289069411,1,0.58614291194612,-0.187807645862466,"CGREF1",0.636839432026979
0.895897603666685,1,0.343884101281564,-0.208020407748411,"IDH2",0.404697289718724
0.55831770367467,1,0.454938860511348,-0.131528350296952,"ERLEC1",0.514278711882394
38.049464223258,1,6.8973649014481e-10,1.99466837665582,"C9orf16",3.47353781973828e-09
5.48893546712285,1,0.0191371918406743,1.72146939062672,"C1QTNF3",0.0308290784983773
6.17565229879567,1,0.0129520150198782,0.56508802483432,"SDF4",0.0215802575144915
13.8251147940388,1,0.000200636332740367,-0.61903335130431,"ZCCHC24",0.000497364567635766
6.27813620444968,1,0.0122236593045849,1.30348097853421,"GMPPA",0.0204888322376701
7.56530200190365,1,0.00595026829507173,-0.557876334174295,"ALDH18A1",0.0106780095568061
8.60843265992734,1,0.00334610124328127,0.886824024316665,"CIB1",0.00628729611762767
28.8224200432574,1,7.93274924637544e-08,2.21360469811848,"IGFBP6",3.26059325641461e-07
57.3569412400476,1,3.63042929052426e-14,1.64898508272593,"SLC27A4",2.72404023275579e-13
9.10357742716809,1,0.00255110047996798,1.00751740553771,"JOSD2",0.0049445119564126
88.0731504075166,1,0,-1.75887731503882,"ENAH",0
65.7666209331816,1,5.55111512312578e-16,1.73775308485206,"CD99",4.77395900588817e-15
10.702196174712,1,0.00107008433632183,2.11225163697141,"UCHL1",0.00224036383522061
14.9075505451224,1,0.000112910164055235,-0.468133745254114,"CALU",0.000293566426543612
34.2558573829037,1,4.83218853819523e-09,2.1873511745288,"TMEM176A",2.2232044385606e-08
12.1407804128184,1,0.000493311287324771,1.66998017563181,"CKLF",0.0011185347885066
38.3552702250362,1,5.89686188767757e-10,1.90723009728904,"CYBA",3.03810672369748e-09
10.6356105260251,1,0.00110930656159103,1.4690550298283,"CSRP2",0.00230521326367801
5.77665445354652,1,0.0162404250379106,0.570127596261776,"VEGFB",0.0264291050835284
17.4915683754172,1,2.8858469264148e-05,1.48894425559124,"LAMTOR2",8.20366990758781e-05
5.70368776677277,1,0.0169293067006301,0.586730260490101,"TUBA1C",0.0274701957783809
30.1169344848863,1,4.06763678295619e-08,-1.3097641523555,"KIAA1462",1.69912794642637e-07
2.6234448136344,1,0.105295626699205,-0.474359035090923,"ACKR1",0.141490998377057
81.3982348693288,1,0,-1.70734813061832,"PACS1",0
1.8751978499065,1,0.170880948686936,0.222153523443588,"RRBP1",0.217839111324966
6.67932657442808,1,0.00975374673099183,-1.09567649305049,"FBLN7",0.0166738361548148
13.5570858122969,1,0.00023141611905575,1.79767920608607,"RTEL1-TNFRSF6B",0.000563667148375442
18.2037383264443,1,1.98488853448975e-05,1.04070001099364,"NUCB1",5.78784841559204e-05
7.59424138872034,1,0.00585550289425996,1.22512757624238,"FKBP7",0.0105251190756732
3.01804787879758,1,0.0823425290109979,-0.315616618126556,"S100A7",0.112955763723062
0.30663503029012,1,0.579752443359572,0.168346464188411,"COTL1",0.631122913024344
0.723189475418826,1,0.395099692105059,-0.196801114908613,"HLA-DRB1",0.456323817947785
35.2151513727781,1,2.95217772450229e-09,-1.05756769928916,"SIL1",1.37522278999732e-08
19.1791902857741,1,1.19003652703231e-05,1.43882075663097,"SSR3",3.61538270984273e-05
38.0630279987375,1,6.84958201269126e-10,-1.46815045537955,"IL1R1",3.46508266524381e-09
4.94266722733457,1,0.0262015742811113,0.398974454871863,"S100A16",0.0402381319317066
5.37419367084927,1,0.0204367853176233,-0.524738301970308,"LMCD1",0.0327339913826688
13.7458765602846,1,0.000209279726149258,-0.663021582606208,"KHDRBS3",0.000515362849856544
6.85044856793112,1,0.0088619020135845,-0.696470493026868,"GALNS",0.0152659575519067
26.5505837381042,1,2.56727134551049e-07,-1.91554476388478,"ADAMTS12",9.79593639686256e-07
