"waldStat","df","pvalue","meanLogFC","gene","fdr"
113.075400267389,10,0,0.266981881902399,"RPL6",0
247.316720566487,10,0,0.173011629860255,"RPS14",0
66.6410147109668,10,1.96510585581677e-10,0.11911744121287,"RPL4",6.0139351186974e-10
223.502321831177,10,0,0.242862087893883,"RPL30",0
238.841010003726,10,0,0.221406985891567,"RPS27",0
180.006750294331,10,0,0.196922847450513,"RPL24",0
47.0524035699914,10,9.23771442118415e-07,0.168410824505619,"GNB2L1",2.07107276405808e-06
191.073825375808,10,0,0.337775518662489,"RPL12",0
168.108586748512,10,0,0.180199495283236,"RPS23",0
109.931183683093,10,0,0.184972360282978,"RPL38",0
166.409233347114,10,0,0.162623512423385,"RPS9",0
184.998755626093,10,0,0.211515982762338,"RPL37",0
82.6308444863885,10,1.52877710490884e-13,0.142945042552953,"RPL3",5.66583514798868e-13
77.5018086078815,10,1.54731782942008e-12,0.130718215860247,"RPS6",5.32183556482361e-12
124.068458544777,10,0,0.121704109547989,"RPL18",0
109.565301024583,10,0,0.335836896482042,"RPL9",0
99.3908470627235,10,1.11022302462516e-16,0.130748163155748,"RPS21",5.22322542155255e-16
149.668290541864,10,0,0.148653635011301,"EEF1A1",0
225.351511187202,10,0,0.183712881895342,"RPL32",0
136.607652503754,10,0,0.187236707432485,"RPS4X",0
110.480066443799,10,0,0.264426474978288,"RPL23",0
87.3431035796908,10,1.79856129989275e-14,0.134706237782429,"RPL14",7.29059669777955e-14
115.425598259719,10,0,0.368711040356569,"RPS3A",0
85.248885565321,10,4.66293670342566e-14,0.133860491477824,"RPL21",1.81714443206459e-13
85.8770575353365,10,3.50830475781549e-14,0.440780254327581,"RPL7",1.39106581663601e-13
50.3852575563753,10,2.26708073758353e-07,0.326400776378324,"RPL22",5.40291157408357e-07
212.946773742422,10,0,0.265832536269273,"RPS8",0
20.5760494637783,10,0.0242516386750325,0.384559415189539,"HSP90AB1",0.0334150044262967
105.114134159012,10,0,0.313837990189567,"VIM",0
167.304066641918,10,0,0.174778864701762,"RPS16",0
58.4236514086914,10,7.19345016886308e-09,0.2580597197036,"NACA",1.93244164299635e-08
164.502178845333,10,0,0.257892107041492,"RPS20",0
24.5510774537084,10,0.00626459299589277,0.101086329982159,"GLTSCR2",0.0093556750662346
109.901031809063,10,0,0.237565345051182,"RPL36A",0
141.696623693477,10,0,0.191040483504332,"RPS3",0
79.1466881628711,10,7.37743199863417e-13,1.05967460071206,"JUNB",2.59639854835652e-12
174.335459398072,10,0,0.153416338539147,"RPL23A",0
107.970393672149,10,0,0.152689435762571,"RPS5",0
63.2090910660953,10,8.90777118733865e-10,0.300679041552917,"BTF3",2.55957475889351e-09
125.215268962939,10,0,0.12929803955816,"RPS17",0
126.824106133457,10,0,0.259076724758655,"RPL17-C18orf32",0
132.074175644288,10,0,0.28485014444719,"RPL10A",0
33.247430296689,10,0.000247492690673479,0.501456058222424,"HNRNPA1",0.00043635604491557
117.299338595063,10,0,0.225728301479573,"RPS25",0
42.8605643173068,10,5.26674637402191e-06,1.05318755930365,"LMO4",1.11214086223533e-05
90.565650870807,10,4.10782519111308e-15,0.230979422149633,"PFDN5",1.74294638950032e-14
NA,NA,NA,0.238912576764246,"CIRBP",NA
96.4158505700186,10,3.33066907387547e-16,0.150102643875629,"RPS15",1.48977710299455e-15
167.568409558583,10,0,0.279529514919824,"RPL31",0
95.6351522538823,10,4.44089209850063e-16,0.224036419437605,"RPS7",1.9669902563115e-15
37.9863480084053,10,3.81599395929966e-05,0.433251196595622,"ADIRF",7.43545604086714e-05
139.089890628834,10,0,0.2358485428661,"RPS10",0
3.19384686460864,10,0.9764869456584,0.0679373059273717,"NUCKS1",0.991778687536719
153.482485539658,10,0,0.211363446090855,"RPS15A",0
48.9393830508456,10,4.17875982261506e-07,0.464344210165565,"FGFR1",9.65474279627094e-07
63.9695190152418,10,6.37860209096175e-10,0.410289594790588,"CD81",1.86831312857847e-09
62.6162636543862,10,1.15526732624716e-09,0.243905836430951,"EIF1",3.28834712298563e-09
27.4199325014294,10,0.00223405071986016,0.251154694003612,"ZFP36L2",0.00345573774043105
109.160031056316,10,0,0.169712118291086,"RPS24",0
126.077599276354,10,0,0.129081059993544,"RPL7A",0
237.49181570499,10,0,0.300314537408266,"RPS18",0
10.3025261615904,10,0.414364598531108,0.216381241018294,"HMGB1",0.462215055855339
41.4903043617937,10,9.23762462856637e-06,0.821021901712695,"HIST1H4C",1.91065220107933e-05
136.980433456825,10,0,0.28205141731778,"RPL35",0
74.6290065208493,10,5.61817259381314e-12,0.746403412215725,"SNHG8",1.86178858218333e-11
190.595395148418,10,0,0.161147143223777,"RPS2",0
100.860451257949,10,0,0.82257761784453,"TMEM258",0
NA,NA,NA,0.278178362251728,"POLDIP2",NA
6.48563150037398,10,0.772947290299047,0.687336497966908,"PLXNA3",0.804857958247173
14.8342770286761,10,0.138221646059002,0.38283624256768,"MRPS12",0.169372813254485
NA,NA,NA,0.282718838047146,"RAB24",NA
NA,NA,NA,0.348164530265446,"MARVELD1",NA
NA,NA,NA,0.416751553040856,"CMKLR1",NA
