"SULF2",2081.03416803677,2079.69257827076,2074.40750601307,2076.2901068524,2079.91125038519,2079.87384241267
"SRA1",1407.04748973907,1393.75090970548,1388.4596472125,1389.1406154975,1392.6788143216,1387.14507765014
"YKT6",1495.86929475815,1485.10478261415,1476.6591399794,1467.20583221521,1477.11794621244,1475.9745919374
"POMP",2073.12665765248,2070.27496866647,2057.68237040265,2066.7206432544,2065.65194217564,2065.25637407467
"CXXC5",1744.447003396,1738.39505154846,1745.23992770043,1743.09840608948,1743.03316142828,1744.5563779139
"MAP7D1",1494.02408747589,1494.77483028566,1496.91596074698,1496.77377351835,1496.71991260302,1491.11881987595
"C9orf16",2406.26840065917,2391.32761221655,2393.65474865144,2390.87772165185,2392.00163404052,2390.30228345013
"GORASP2",1190.23735648301,1189.69719706074,1189.45907309769,1188.91830881381,1190.50094769642,1189.68051087909
"CRELD2",1369.04671223968,1370.75055662787,1364.32429311274,1362.11465539451,1355.669307093,1363.69235514651
"IGFBP7",5392.65468520717,5295.96871048417,5281.00382715861,5275.94132586895,5283.77120126672,5279.63430419281
"AP1S1",762.069738974313,763.428413300736,754.834614383982,755.682063970953,754.787073816416,762.510219785216
"TMEM45A",1959.60641837749,1958.13471610952,1960.6357525923,1958.67423746928,1957.36197282051,1959.22428519187
"PREX2",1084.52418366764,1082.73902826481,1079.4025854703,1082.03352804744,1080.83016367953,1073.03501937059
"MAST2",948.790595359109,954.26943000103,953.529230319268,955.91051417182,954.396838384322,955.043891713598
"NFE2L1",1635.9090153079,1633.42776234161,1635.50644273748,1630.70115869836,1619.49899703366,1629.67007351228
"CLEC11A",3302.55556962886,3291.44981381361,3291.83177683083,3282.1872672572,3291.02753510709,3289.32408588202
"PKM",3093.90539540482,3073.62743701959,3080.12022249508,3075.41997405949,3075.43145040482,3078.61132024668
"MFSD12",862.126319557481,861.231845900378,861.749205733706,862.168201221519,861.578971930101,859.621022684561
"COL6A2",6928.39308372446,6929.94018891546,6926.46246586586,6922.77958888247,6924.34978820198,6927.35263435296
"FAAP100",770.325182545068,765.585182271258,770.278935162987,770.395075499956,769.96544684211,770.01804515505
"HES4",1309.13796630102,1308.33563682639,1306.44554746499,1303.52159126278,1307.95740232073,1309.88440999376
"TACSTD2",1405.15791135344,1405.015975168,1403.98584469959,1402.07439571886,1404.89781459094,1403.48115517053
"SEPT11",2737.64497979905,2738.26289191717,2740.29346125567,2736.09666468708,2738.64897478747,2736.4042320064
"RPS6",6298.83789326754,6294.27325221709,6289.6814305613,6296.02649102189,6291.82001774358,6294.83192756858
"GPR78",2115.94814494493,2086.67897836828,2088.14840154356,2088.63328109801,2085.2141447891,2087.55563064226
"AP3D1",1284.17849238608,1287.79734801717,1285.26074335792,1286.28711467467,1285.13177036655,1286.81865565607
"RPL6",5356.07132349168,5346.33936947967,5348.70991627752,5348.56416077825,5346.22032216226,5347.69647916161
"CD151",2048.07397415681,2043.3177361793,2031.06289500181,2027.38275851417,2026.6990004308,2030.84062607422
"CLEC2B",1907.78888473794,1909.68656626906,1908.65530031038,1900.61055907417,1906.07236158731,1907.23598608786
"CHRD",1138.66689608889,1141.39403111887,1140.65231241838,1138.77786762919,1141.23796025494,1138.98350213998
"MYO18A",1046.83867705831,1044.48849415616,1045.61085957464,1045.03474869637,1045.52327677028,1043.87470690223
"IFI27",2870.23683525047,2871.23518773507,2869.79268400878,2870.03141682181,2870.58939172692,2870.75215748441
"SERP1",2251.89241885988,2250.15860202767,2233.90991998005,2235.31265621498,2222.02806624001,2229.11814892435
"SHISA4",946.535524121647,940.455117719455,942.893194052181,931.258910987243,932.531004560745,940.049325463045
"CREB3",1061.9245795278,1061.27147560212,1061.22063781525,1062.05776591575,1060.90226913102,1045.70339829375
"DPT",3385.8241599894,3356.47850612731,3326.31173821198,3321.53204482189,3319.21823611148,3319.47637656262
"UROD",1744.80177244773,1742.00982527113,1746.06117931221,1748.66565726474,1749.04280517285,1748.49678404063
"ASNA1",1164.01584582039,1166.06619697339,1165.0269518898,1164.75639220678,1166.51607993446,1165.45465248367
"CFH",2918.67618196731,2863.91364074256,2836.23534952864,2842.3791536103,2840.36170415497,2838.45329822785
"APRT",2624.88487455356,2621.13468056329,2624.03774311027,2622.03559952573,2622.61382610046,2625.78719052206
"PTPN14",1812.73988671473,1809.06461626377,1806.41789324356,1805.70203881572,1804.91795618114,1804.98875843338
"LOX",1788.46419592065,1778.19342440001,1777.76771611335,1782.61645767209,1780.81316804772,1777.7424979443
"PRDM1",845.238300369516,840.63923313031,839.834999439783,840.490045168199,841.399487123905,839.452853672597
"BTF3",4219.68315816674,4218.27433722464,4220.17633026972,4219.11120658398,4220.55135636608,4222.15739202642
"CIRBP",3636.5193663166,3636.90821270613,3636.23154807063,3633.38101653476,3636.86103971028,3636.6002338775
"R3HDM4",1227.12082625178,1226.63724615574,1226.04252781711,1227.07040921865,1226.67203521402,1223.71693859823
"TENM4",1675.51746704374,1666.35368262176,1665.35352429187,1663.84952940446,1664.12385001809,1667.01744638976
"FAM195B",1759.3258685127,1757.68075482244,1750.41174647354,1760.12361828246,1752.64672398512,1757.22517848397
