"gene","dynamic_module","clean_module","expected_sign","retained_n","retained_fraction","retained_all_6","retained_at_least_5","retained_majority"
"INAFM1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PRDX4","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"AC005943.2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"S100A8","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"FBLN1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"TMEM119","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"MIR99AHG","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"EHD2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"LRRC32","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"ISG15","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CADM1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"FAM114A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PDXK","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CTSK","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"PHPT1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"KDELR3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SSC5D","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ARHGAP1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"HEG1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"TNFRSF12A","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"DPT","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ITGA11","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PIEZO2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"B4GALT2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"TYMP","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"CD74","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"HLA-DRA","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"EFEMP2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"PALLD","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CST3","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"C1orf122","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"GAS6","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ZMAT3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"LIMA1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PDLIM7","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PDLIM2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"MYDGF","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CILP2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"GUCY1A3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"BNC2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL18A1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"LGALS3BP","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"TMSB10","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"S100A11","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"C1QTNF5","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"FSTL1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"OGN","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"THBS4","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"GOLM1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"P3H3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"HCFC1R1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ARPC1B","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"FKBP11","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CCDC80","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"AK1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"C1QTNF6","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PODN","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ACTA2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CKAP4","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SULF1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"ZNF469","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"P3H1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"MIR4435-2HG","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"FAP","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"TSHZ2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL11A1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"VKORC1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"SMOC2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CHPF","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"NBL1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"COL12A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"FKBP10","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SULF2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL16A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"MMP2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"SERF2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"MXRA5","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"P4HA2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"NREP","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PYCR1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"EMILIN1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"MYL9","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"RARRES2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"LINC00152","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"P3H4","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PPIB","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"VCAN","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CPXM1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"IGFBP4","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ARMC9","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SERPINF1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"COPZ2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PPIC","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"FOXP1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"OLFML2B","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"LRRC15","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"ASPN","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL5A3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SFRP4","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SEPT11","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"BASP1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"NNMT","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"MARCKS","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"HSPG2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"TIMP1","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"ARL4C","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"AEBP1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"WISP2","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"TAGLN","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"BMP1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL8A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"THBS2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"FBN1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"MRC2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL6A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CTHRC1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"PCOLCE","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"COL14A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"ADAMTS2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COMP","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"IGFBP7","D2_late_increasing","clean_D2",1,5,0.833333333333333,FALSE,TRUE,TRUE
"COL6A3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"RCN3","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"POSTN","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"ADAM12","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL6A2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"MDK","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CREB3L1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"CERCAM","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"GXYLT2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SERPINH1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"THY1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"FN1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SFRP2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL5A2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL3A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL5A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL1A2","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"SPARC","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
"COL1A1","D2_late_increasing","clean_D2",1,6,1,TRUE,TRUE,TRUE
