"gene","dynamic_module","clean_module","expected_sign","scheme","n_repeats","median_rho","expected_direction_fraction","strong_expected_fraction","direction_retained_in_at_least_80pct_repeats"
"F2R","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.24540746844148,1,0.8,TRUE
"PLEKHH2","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.205523744600335,0.96,0.52,TRUE
"PLEKHH2","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.185330743730722,1,0.39,TRUE
"HIST1H2BD","D1_early_decreasing","none",-1,"five_donors_n43",100,-0.178217588164907,1,0.37,TRUE
"HIST1H2BD","D1_early_decreasing","none",-1,"all_6_donors_n11",100,-0.16383305165065,0.98,0.4,TRUE
"TWIST1","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.19641547831727,1,0.49,TRUE
"TWIST1","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.200434278303772,0.92,0.5,TRUE
"HIST2H2BE","D1_early_decreasing","none",-1,"five_donors_n43",100,-0.152791165725105,0.98,0.24,TRUE
"HIST2H2BE","D1_early_decreasing","none",-1,"all_6_donors_n11",100,-0.231508389676689,0.94,0.59,TRUE
"ITGA8","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.206898163664781,1,0.53,TRUE
"ITGA8","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.187724928250307,1,0.45,TRUE
"CPE","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.2592199163574,0.95,0.67,TRUE
"CPE","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.187699432608419,1,0.43,TRUE
"SOX18","D1_early_decreasing","clean_D1",-1,"all_6_donors_n11",100,-0.27387930997401,0.99,0.72,TRUE
"SOX18","D1_early_decreasing","clean_D1",-1,"five_donors_n43",100,-0.260491194993153,1,0.87,TRUE
"PTMA","D2_late_increasing","none",1,"five_donors_n43",100,-0.630033857125991,0,0,FALSE
"PTMA","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.618100212135692,0,0,FALSE
"RPL35A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.475166510099701,0,0,FALSE
"RPL35A","D2_late_increasing","none",1,"five_donors_n43",100,-0.48733142943709,0,0,FALSE
"RPL34","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.373442254075319,0,0,FALSE
"RPL34","D2_late_increasing","none",1,"five_donors_n43",100,-0.433493897504486,0,0,FALSE
"SLC35F1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.311016805670505,0,0,FALSE
"SLC35F1","D2_late_increasing","none",1,"five_donors_n43",100,-0.375782624285795,0,0,FALSE
"H3F3B","D2_late_increasing","none",1,"five_donors_n43",100,-0.496800160400836,0,0,FALSE
"H3F3B","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.425405767471353,0,0,FALSE
"RPL13","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.422795115332429,0,0,FALSE
"RPL13","D2_late_increasing","none",1,"five_donors_n43",100,-0.400695320067914,0,0,FALSE
"RPL11","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.375787373561821,0,0,FALSE
"RPL11","D2_late_increasing","none",1,"five_donors_n43",100,-0.395301138304444,0,0,FALSE
"RPS27A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.352035492523326,0,0,FALSE
"RPS27A","D2_late_increasing","none",1,"five_donors_n43",100,-0.376557233637183,0,0,FALSE
"RPS13","D2_late_increasing","none",1,"five_donors_n43",100,-0.413468121968376,0,0,FALSE
"RPS13","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.375273342007256,0,0,FALSE
"RPL26","D2_late_increasing","none",1,"five_donors_n43",100,-0.380671701625061,0,0,FALSE
"RPL26","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.353121087518802,0,0,FALSE
"RPL37A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.373480713112117,0,0,FALSE
"RPL37A","D2_late_increasing","none",1,"five_donors_n43",100,-0.430462863492356,0,0,FALSE
"RPL5","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.314356677820836,0,0,FALSE
"RPL5","D2_late_increasing","none",1,"five_donors_n43",100,-0.346285304483505,0,0,FALSE
"RPL13A","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.316250913265839,0,0,FALSE
"RPL13A","D2_late_increasing","none",1,"five_donors_n43",100,-0.355331844724813,0,0,FALSE
"FAU","D2_late_increasing","none",1,"five_donors_n43",100,-0.347688594420858,0,0,FALSE
"FAU","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.366950957244886,0,0,FALSE
"RPL19","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.304879687247941,0,0,FALSE
"RPL19","D2_late_increasing","none",1,"five_donors_n43",100,-0.386068262300946,0,0,FALSE
"RPL6","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.349561678187505,0,0,FALSE
"RPL6","D2_late_increasing","none",1,"five_donors_n43",100,-0.349737397286808,0,0,FALSE
"RPS14","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.320759837177748,0,0,FALSE
"RPS14","D2_late_increasing","none",1,"five_donors_n43",100,-0.379923920484796,0,0,FALSE
"RPL4","D2_late_increasing","none",1,"five_donors_n43",100,-0.350771336155139,0,0,FALSE
"RPL4","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.296053432830243,0,0,FALSE
"RPL30","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.355524210655438,0,0,FALSE
"RPL30","D2_late_increasing","none",1,"five_donors_n43",100,-0.374349226828956,0,0,FALSE
"RPS27","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.304283329376279,0,0,FALSE
"RPS27","D2_late_increasing","none",1,"five_donors_n43",100,-0.338293111589682,0,0,FALSE
"RPL24","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.303925741724681,0,0,FALSE
"RPL24","D2_late_increasing","none",1,"five_donors_n43",100,-0.361673033609064,0,0,FALSE
"GNB2L1","D2_late_increasing","none",1,"five_donors_n43",100,-0.38943148549493,0,0,FALSE
"GNB2L1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.333378387897544,0,0,FALSE
"RPL12","D2_late_increasing","none",1,"five_donors_n43",100,-0.21844295804166,0,0,FALSE
"RPL12","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.157760978237171,0.08,0,FALSE
"RPS23","D2_late_increasing","none",1,"five_donors_n43",100,-0.343497930122664,0,0,FALSE
"RPS23","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.31466214340819,0,0,FALSE
"RPL38","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.295469669658054,0,0,FALSE
"RPL38","D2_late_increasing","none",1,"five_donors_n43",100,-0.352752992407923,0,0,FALSE
"RPS9","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.3180753244776,0,0,FALSE
"RPS9","D2_late_increasing","none",1,"five_donors_n43",100,-0.30233735158561,0,0,FALSE
"RPL37","D2_late_increasing","none",1,"five_donors_n43",100,-0.250812512660543,0,0,FALSE
"RPL37","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.232095980128471,0.02,0,FALSE
"RPL3","D2_late_increasing","none",1,"five_donors_n43",100,-0.279314840890665,0,0,FALSE
"RPL3","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.24131817518958,0.01,0,FALSE
"RPS6","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.243259887223633,0.01,0,FALSE
"RPS6","D2_late_increasing","none",1,"five_donors_n43",100,-0.289540948595567,0,0,FALSE
"RPL18","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.21609888942316,0.01,0,FALSE
"RPL18","D2_late_increasing","none",1,"five_donors_n43",100,-0.284510437986775,0,0,FALSE
"RPL9","D2_late_increasing","none",1,"five_donors_n43",100,-0.317085522125802,0,0,FALSE
"RPL9","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.302768192032316,0,0,FALSE
"RPS21","D2_late_increasing","none",1,"five_donors_n43",100,-0.351981881678196,0,0,FALSE
"RPS21","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.304782581732355,0,0,FALSE
"EEF1A1","D2_late_increasing","none",1,"all_6_donors_n11",100,-0.238304978603486,0,0,FALSE
