"cell","ordering_set","pseudotime","program","sample","condition"
"K183156_CELL18793_N1","program_DE_all1586",20.4971910257007,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL19813_N1","program_DE_all1586",14.3121068490958,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL19814_N1","program_DE_all1586",20.3362980842501,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL19878_N1","program_DE_all1586",19.9878721584627,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL20275_N1","program_DE_all1586",20.1980362491402,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL20290_N1","program_DE_all1586",11.049224997802,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL20345_N1","program_DE_all1586",17.2769448201342,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL20450_N1","program_DE_all1586",19.9362768342496,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL20562_N1","program_DE_all1586",16.862507943247,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL20706_N1","program_DE_all1586",17.2219228449616,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL20789_N1","program_DE_all1586",22.0601030645292,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL20985_N1","program_DE_all1586",20.1484657126941,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL21168_N1","program_DE_all1586",19.8777666489081,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL21516_N1","program_DE_all1586",20.1264759620673,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL21521_N1","program_DE_all1586",13.9688065044506,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL21648_N1","program_DE_all1586",20.5243901557595,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL21667_N1","program_DE_all1586",19.8161628700078,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL21715_N1","program_DE_all1586",19.8403262922074,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL21988_N1","program_DE_all1586",16.0802523660409,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL22021_N1","program_DE_all1586",21.1205065571683,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL22099_N1","program_DE_all1586",15.5988038832958,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL22266_N1","program_DE_all1586",15.1495782475826,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL22495_N1","program_DE_all1586",19.781051945402,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL22524_N1","program_DE_all1586",12.5415451392398,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL22617_N1","program_DE_all1586",19.3305734362006,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL22643_N1","program_DE_all1586",0.434741883605449,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL22720_N1","program_DE_all1586",13.7123044171593,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL23175_N1","program_DE_all1586",16.9895547874429,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL23273_N1","program_DE_all1586",13.5561603051494,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL23386_N1","program_DE_all1586",20.221744592594,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL23524_N1","program_DE_all1586",19.9953391958864,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL23808_N1","program_DE_all1586",11.2412126407718,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL23876_N1","program_DE_all1586",20.0847898778267,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL24187_N1","program_DE_all1586",20.1870513183348,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL24214_N1","program_DE_all1586",19.8279358067326,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL24301_N1","program_DE_all1586",19.7489657893811,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL24762_N1","program_DE_all1586",0.413249145431089,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL24977_N1","program_DE_all1586",22.3607678138114,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL25010_N1","program_DE_all1586",14.2246269783232,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL25144_N1","program_DE_all1586",19.8282284606944,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL25363_N1","program_DE_all1586",20.1436129679624,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL25423_N1","program_DE_all1586",18.1630081226634,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL25737_N1","program_DE_all1586",17.5488416775241,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL26172_N1","program_DE_all1586",15.4662839738259,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL26269_N1","program_DE_all1586",19.9662504684871,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL26381_N1","program_DE_all1586",17.8404235169866,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL26435_N1","program_DE_all1586",7.51652490463853,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL26465_N1","program_DE_all1586",20.2987481371141,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL26500_N1","program_DE_all1586",18.5699689233037,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL26953_N1","program_DE_all1586",16.9369751462493,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL26993_N1","program_DE_all1586",7.48116890084059,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL27570_N1","program_DE_all1586",20.2133698750455,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL27743_N1","program_DE_all1586",19.908835943244,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL27800_N1","program_DE_all1586",5.58862761074038,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL27868_N1","program_DE_all1586",0.414278287432669,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL27961_N1","program_DE_all1586",18.6143899431774,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL28048_N1","program_DE_all1586",19.742926694134,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL28084_N1","program_DE_all1586",21.7914407658391,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL28271_N1","program_DE_all1586",20.0492947750371,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL28277_N1","program_DE_all1586",16.9832189355563,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL28434_N1","program_DE_all1586",20.2560189797691,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL28511_N1","program_DE_all1586",19.7667758038248,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL28650_N1","program_DE_all1586",21.1814979193531,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL28725_N1","program_DE_all1586",21.5876256470246,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL28774_N1","program_DE_all1586",13.8441188174417,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL28889_N1","program_DE_all1586",16.6099175788348,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL29055_N1","program_DE_all1586",20.1478769420667,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL29107_N1","program_DE_all1586",19.2460778179754,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL29144_N1","program_DE_all1586",22.9420642633304,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL29247_N1","program_DE_all1586",15.3906145306882,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL29350_N1","program_DE_all1586",14.8079565537481,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL29405_N1","program_DE_all1586",20.049596562775,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL29464_N1","program_DE_all1586",21.1120712749149,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL29671_N1","program_DE_all1586",20.1936519029809,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL29753_N1","program_DE_all1586",13.7712482617253,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL29916_N1","program_DE_all1586",15.4154631855174,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL29934_N1","program_DE_all1586",22.2325919557455,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL30145_N1","program_DE_all1586",19.7764393019246,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL30180_N1","program_DE_all1586",19.870131766387,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31044_N1","program_DE_all1586",20.9797337089804,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL31471_N1","program_DE_all1586",13.5384014446525,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31584_N1","program_DE_all1586",20.2291215708922,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31596_N1","program_DE_all1586",20.2996430756921,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL31644_N1","program_DE_all1586",19.944275582501,"ECM-producing fibroblasts","K183156","Keloid"
"K183156_CELL31729_N1","program_DE_all1586",14.8551187985147,"ECM-producing fibroblasts","K183156","Keloid"
