"cell","ordering_set","pseudotime","program","sample","condition"
"K183156_CELL31924_N1","program_DE_all1586",12.9910132929162,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL32069_N1","program_DE_all1586",13.5708156295198,"Matrix-remodeling fibroblasts","K183156","Keloid"
"K183156_CELL32181_N1","program_DE_all1586",19.8420142390921,"Homeostatic/regulatory fibroblasts","K183156","Keloid"
"K183156_CELL32209_N1","program_DE_all1586",22.1313938099935,"ECM-producing fibroblasts","K183156","Keloid"
"K183261_CELL782_N3","program_DE_all1586",17.5446918181224,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL831_N2","program_DE_all1586",11.8860995919609,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1053_N6","program_DE_all1586",15.3661635151694,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL1385_N2","program_DE_all1586",19.4667452064587,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1474_N3","program_DE_all1586",22.0444514463134,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1794_N4","program_DE_all1586",15.3661596090516,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL1909_N4","program_DE_all1586",5.02415974471386,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL1937_N4","program_DE_all1586",6.70536475340376,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL2058_N2","program_DE_all1586",16.6190909552823,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL2230_N5","program_DE_all1586",20.5663554457363,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL2234_N4","program_DE_all1586",8.3605955527642,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL2264_N3","program_DE_all1586",19.6338560782254,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL2301_N2","program_DE_all1586",4.69394903211651,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL3150_N2","program_DE_all1586",19.1312250767636,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL3380_N4","program_DE_all1586",10.8077828313214,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL3662_N6","program_DE_all1586",12.7577133401832,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL3774_N3","program_DE_all1586",12.5351815466475,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL4138_N3","program_DE_all1586",22.547306507986,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL4247_N4","program_DE_all1586",4.39508694534616,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL4530_N7","program_DE_all1586",20.0849664810473,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL4642_N3","program_DE_all1586",18.7377688587389,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL4741_N3","program_DE_all1586",20.1343351809066,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL5112_N2","program_DE_all1586",14.8380920015912,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL5265_N2","program_DE_all1586",5.39679775987217,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL5296_N2","program_DE_all1586",14.3770266016874,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL6116_N2","program_DE_all1586",10.1334573851335,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL6202_N3","program_DE_all1586",15.9242208070132,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL7358_N2","program_DE_all1586",17.5636286255256,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL7359_N1","program_DE_all1586",6.78603368131589,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL8615_N4","program_DE_all1586",10.8491948691665,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9070_N3","program_DE_all1586",16.4161152481356,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL9269_N3","program_DE_all1586",15.1362562380114,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL9511_N3","program_DE_all1586",20.1724371114472,"Matrix-remodeling fibroblasts","K183261","Keloid"
"K183261_CELL9537_N3","program_DE_all1586",0.297583267296148,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9555_N2","program_DE_all1586",10.3944283660872,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9812_N4","program_DE_all1586",20.0412851712995,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL9904_N2","program_DE_all1586",6.04789548792128,"Homeostatic/regulatory fibroblasts","K183261","Keloid"
"K183261_CELL10261_N1","program_DE_all1586",17.2617418566012,"ECM-producing fibroblasts","K183261","Keloid"
"K183261_CELL12047_N1","program_DE_all1586",22.3877646799308,"ECM-producing fibroblasts","K183261","Keloid"
